"BRANCH_CODE","CREDIT_CARD_NO","CUST_SSN","TRANSACTION_ID","TRANSACTION_TYPE","TRANSACTION_VALUE","TIMEID"
114,"4210653349028689",123459988,1,"Education",78.9,"20180214"
35,"4210653349028689",123459988,2,"Entertainment",14.24,"20180320"
160,"4210653349028689",123459988,3,"Grocery",56.7,"20180708"
114,"4210653349028689",123459988,4,"Entertainment",59.73,"20180419"
93,"4210653349028689",123459988,5,"Gas",3.59,"20181010"
164,"4210653349028689",123459988,6,"Education",6.89,"20180528"
119,"4210653349028689",123459988,7,"Entertainment",43.39,"20180519"
23,"4210653349028689",123459988,8,"Gas",95.39,"20180808"
166,"4210653349028689",123459988,9,"Entertainment",93.26,"20180318"
83,"4210653349028689",123459988,10,"Bills",100.38,"20180903"
52,"4210653349028689",123459988,11,"Gas",98.75,"20180821"
17,"4210653349028689",123459988,12,"Gas",42.71,"20181224"
80,"4210653349028689",123459988,13,"Grocery",40.24,"20180403"
50,"4210653349028689",123459988,14,"Bills",17.81,"20180415"
123,"4210653349028689",123459988,15,"Bills",29.0,"20180517"
9,"4210653349028689",123459988,16,"Test",70.63,"20180706"
3,"4210653349028689",123459988,17,"Test",27.04,"20180928"
135,"4210653349028689",123459988,18,"Entertainment",88.75,"20180704"
103,"4210653349028689",123459988,19,"Test",77.02,"20180424"
78,"4210653349028689",123459988,20,"Bills",34.34,"20181008"
156,"4210653349028689",123459988,21,"Education",10.56,"20181023"
20,"4210653349028689",123459988,22,"Education",6.7,"20180813"
44,"4210653349028689",123459988,23,"Bills",7.97,"20180317"
54,"4210653349028689",123459988,24,"Test",32.81,"20180511"
119,"4210653349028689",123459988,25,"Entertainment",35.02,"20180303"
121,"4210653349028689",123459988,26,"Test",86.3,"20180511"
19,"4210653349028689",123459988,27,"Test",82.05,"20181214"
43,"4210653349028689",123459988,28,"Healthcare",98.78,"20180806"
7,"4210653349028689",123459988,29,"Grocery",9.49,"20181014"
29,"4210653349028689",123459988,30,"Gas",17.03,"20181204"
123,"4210653349028689",123459988,31,"Grocery",54.49,"20181024"
66,"4210653349028689",123459988,32,"Education",13.34,"20181212"
117,"4210653349028689",123459988,33,"Healthcare",24.37,"20181020"
72,"4210653349028689",123459988,34,"Entertainment",53.03,"20181109"
95,"4210653349028689",123459988,35,"Test",96.55,"20180909"
32,"4210653349028689",123459988,36,"Education",62.82,"20180928"
104,"4210653349028689",123459988,37,"Education",73.99,"20180412"
158,"4210653349028689",123459988,38,"Education",63.08,"20180906"
70,"4210653349028689",123459988,39,"Entertainment",46.84,"20181005"
69,"4210653349028689",123459988,40,"Entertainment",96.29,"20180116"
26,"4210653349028689",123459988,41,"Education",25.01,"20180307"
27,"4210653349028689",123459988,42,"Bills",30.95,"20181120"
79,"4210653349028689",123459988,43,"Gas",83.33,"20180604"
36,"4210653349028689",123459988,44,"Healthcare",79.91,"20181113"
124,"4210653349028689",123459988,45,"Healthcare",20.81,"20180908"
104,"4210653349028689",123459988,46,"Bills",4.95,"20180121"
50,"4210653349028689",123459988,47,"Grocery",41.62,"20180428"
20,"4210653349028689",123459988,48,"Education",3.79,"20180512"
69,"4210653349028689",123459988,49,"Healthcare",26.34,"20180826"
76,"4210653349028689",123459988,50,"Entertainment",53.49,"20180102"
93,"4210653349028689",123459988,51,"Gas",73.45,"20180304"
80,"4210653349028689",123459988,52,"Entertainment",15.89,"20181209"
43,"4210653349028689",123459988,53,"Grocery",16.99,"20180414"
59,"4210653349028689",123459988,54,"Healthcare",31.87,"20180203"
158,"4210653349028689",123459988,55,"Healthcare",30.58,"20181221"
27,"4210653349028689",123459988,56,"Grocery",4.19,"20180111"
126,"4210653349028689",123459988,57,"Bills",1.32,"20181127"
59,"4210653349028689",123459988,58,"Bills",13.72,"20180809"
156,"4210653349028689",123459988,59,"Healthcare",45.55,"20180316"
74,"4210653349028689",123459988,60,"Entertainment",72.17,"20180624"
70,"4210653349028689",123459988,61,"Gas",84.13,"20180922"
123,"4210653349028689",123459988,62,"Test",51.91,"20180320"
121,"4210653349028689",123459988,63,"Education",43.08,"20181222"
60,"4210653349028689",123459988,64,"Healthcare",89.81,"20180918"
31,"4210653349028689",123459988,65,"Grocery",56.84,"20180125"
63,"4210653349028689",123459988,66,"Education",82.11,"20180811"
63,"4210653349028689",123459988,67,"Gas",35.29,"20181025"
27,"4210653349028689",123459988,68,"Entertainment",46.53,"20180215"
31,"4210653349028689",123459988,69,"Test",93.2,"20180607"
139,"4210653349028689",123459988,70,"Grocery",61.4,"20180427"
9,"4210653349028689",123459988,71,"Bills",87.58,"20180612"
48,"4210653349028689",123459988,72,"Education",8.08,"20180717"
145,"4210653349028689",123459988,73,"Entertainment",92.84,"20180307"
144,"4210653349028689",123459988,74,"Bills",45.93,"20180327"
42,"4210653349028689",123459988,75,"Gas",38.07,"20181218"
49,"4210653349028689",123459988,76,"Gas",51.93,"20180316"
1,"4210653349028689",123459988,77,"Bills",53.03,"20181128"
73,"4210653349028689",123459988,78,"Education",31.89,"20180414"
53,"4210653349028689",123459988,79,"Gas",66.48,"20180613"
